Ano;NOME;Idade;PEDRA;INDE;IAN;IDA;IEG;IAA;IPS;IPP;IPV;PONTO_VIRADA
2020;ALUNO-1;14.76986301;3;7.883752;10;7;8.7;8.50002;7.5;5.9375;7.75;0
2020;ALUNO-3;17.94520548;3;7.856389667;10;5.5;8.9;7.91667;7.5;8.125;8.111113333;0
2020;ALUNO-4;17.24657534;1;5.076252;5;0;4.1;8.00002;6.875;7.1875;7.75;0
2020;ALUNO-5;17.03561644;3;8.077085;10;7.5;8;7.50002;7.5;8.4375;8.166665;0
2020;ALUNO-8;17.96986301;3;8.381390667;10;7.333333333;9.9;8.33334;4.375;8.75;8.94445;1
2020;ALUNO-10;15.03013699;1;5.1618745;10;0;5.2;5.83333;3.75;7.96875;6.8333325;0
2020;ALUNO-11;17.55068493;4;9.712504;10;10;10;9.00002;8.125;10;10.00001;1
2020;ALUNO-12;18.4109589;1;5.838887333;5;6.666666667;6;6.25;5.625;5.625;5.27777;0
2020;ALUNO-14;17.17808219;2;6.434585;10;0;7.6;8.00002;6.875;8.4375;7.916665;0
2020;ALUNO-15;14.68493151;1;5.162502;5;0;4;8.50002;7.5;8.125;7.25;0
2020;ALUNO-17;18.76986301;3;7.766252;5;10;6.8;9.50002;7.5;6.5625;7.75;0
2020;ALUNO-18;17.34520548;2;7.205557667;5;6.5;7;9.58335;7.5;7.083333333;7.944446667;0
2020;ALUNO-28;15.38356164;4;9.354725667;10;9;9.6;9.58335;6.875;10;9.944453333;1
2020;ALUNO-30;14.57534247;2;7.125001;10;4.75;10;7.91668;7.5;2.5;6.916665;0
2020;ALUNO-33;17.94246575;2;7.013888333;10;8.666666667;4.5;6.66667;7.5;7.083333333;6.277773333;0
2020;ALUNO-34;15.28493151;3;7.698890667;5;7;9.3;8.50002;6.875;8.125;7.944443333;0
2020;ALUNO-35;15.6739726;2;6.64396;5;5;6.1;8.75001;6.25;7.65625;8.29167;0
2020;ALUNO-36;15.57808219;3;8.307780333;5;8;9.9;9.58335;7.5;8.75;8.222226667;0
